Candidate_ID,Job_Category,Years_Experience,Education_Level,Skill_Fit_Score,AI_Score,Human_Score,AI_Decision,Human_Decision,Final_Decision,Score_Divergence,Decision_Agreement
20137,Software Engineer,4,Masters,34.62,19.01,39.09,0,0,0,-20.08,1
20140,Software Engineer,8,PhD,35.25,40.87,22.83,0,0,0,18.04,1
20144,Software Engineer,16,Masters,62.82,61.39,63.05,0,0,0,-1.66,1
20145,Software Engineer,9,Associate,29.4,30.08,15.53,0,0,0,14.55,1
20148,Software Engineer,7,Bachelors,28.8,25.6,29.4,0,0,0,-3.8,1
20149,Software Engineer,5,Associate,17.0,15.14,10.65,0,0,0,4.49,1
20156,Software Engineer,17,Bachelors,73.77,70.17,75.94,1,1,1,-5.77,1
20157,Software Engineer,0,Bachelors,20.7,6.69,10.55,0,0,0,-3.86,1
20158,Software Engineer,9,Bachelors,40.4,21.49,53.59,0,0,0,-32.1,1
20160,Software Engineer,2,Bachelors,19.68,15.75,12.46,0,0,0,3.29,1
20168,Software Engineer,15,Bachelors,60.46,60.73,66.14,0,0,0,-5.41,1
20177,Software Engineer,18,Masters,72.64,57.48,64.14,0,0,0,-6.66,1
20178,Software Engineer,6,Masters,45.2,52.2,54.76,0,0,0,-2.56,1
20182,Software Engineer,18,Masters,60.53,50.08,69.85,0,0,0,-19.77,1
20185,Software Engineer,3,Bachelors,19.49,15.33,29.59,0,0,0,-14.26,1
20195,Software Engineer,19,Bachelors,81.96,86.66,79.24,1,1,1,7.42,1
20200,Software Engineer,1,Masters,20.31,20.03,42.14,0,0,0,-22.11,1
20202,Software Engineer,9,Masters,46.57,48.3,49.39,0,0,0,-1.09,1
20204,Software Engineer,13,PhD,62.05,53.56,65.98,0,0,0,-12.42,1
20210,Software Engineer,15,Masters,74.22,77.66,77.23,1,1,1,0.43,1
20211,Software Engineer,14,PhD,79.36,85.59,78.4,1,1,1,7.19,1
20212,Software Engineer,1,Masters,48.28,51.33,30.03,0,0,0,21.3,1
20213,Software Engineer,9,Masters,41.2,41.12,24.28,0,0,0,16.84,1
20219,Software Engineer,0,Associate,0.0,0.0,0.66,0,0,0,-0.66,1
20222,Software Engineer,9,Bachelors,23.61,0.0,40.54,0,0,0,-40.54,1
20225,Software Engineer,1,Bachelors,26.14,21.35,28.29,0,0,0,-6.94,1
20231,Software Engineer,18,PhD,88.9,76.16,92.13,1,1,1,-15.97,1
20235,Software Engineer,2,Bachelors,0.0,0.0,0.0,0,0,0,0.0,1
20238,Software Engineer,10,Masters,49.78,46.5,67.07,0,0,0,-20.57,1
20239,Software Engineer,4,Masters,38.96,43.66,22.07,0,0,0,21.59,1
20244,Software Engineer,12,Bachelors,49.43,47.57,52.11,0,0,0,-4.54,1
20247,Software Engineer,15,Masters,59.32,52.19,54.22,0,0,0,-2.03,1
20251,Software Engineer,18,Bachelors,62.44,68.22,84.93,1,1,1,-16.71,1
20253,Software Engineer,9,Masters,26.25,13.95,34.77,0,0,0,-20.82,1
20255,Software Engineer,4,Masters,40.13,22.76,33.0,0,0,0,-10.24,1
20261,Software Engineer,10,Masters,56.32,52.24,52.89,0,0,0,-0.65,1
20262,Software Engineer,13,Masters,70.17,69.93,62.04,1,0,1,7.89,0
20271,Software Engineer,20,Masters,86.76,99.19,92.33,1,1,1,6.86,1
20279,Software Engineer,1,Masters,26.9,13.39,32.66,0,0,0,-19.27,1
20283,Software Engineer,14,PhD,77.29,74.83,72.92,1,1,1,1.91,1
20287,Software Engineer,3,Masters,57.96,56.24,65.32,0,0,0,-9.08,1
20288,Software Engineer,11,Associate,29.32,12.31,44.89,0,0,0,-32.58,1
20289,Software Engineer,8,Associate,28.54,28.57,41.35,0,0,0,-12.78,1
20291,Software Engineer,7,Associate,11.7,12.48,6.12,0,0,0,6.36,1
20295,Software Engineer,9,Masters,50.89,32.07,63.29,0,0,0,-31.22,1
20298,Software Engineer,9,Masters,42.14,45.04,65.7,0,0,0,-20.66,1
20300,Software Engineer,14,Masters,70.41,65.3,89.0,1,1,1,-23.7,1
20304,Software Engineer,17,Bachelors,44.59,32.46,56.4,0,0,0,-23.94,1
20316,Software Engineer,11,Bachelors,40.01,36.83,57.53,0,0,0,-20.7,1
20319,Software Engineer,16,Bachelors,61.89,61.01,58.69,0,0,0,2.32,1
20321,Software Engineer,6,PhD,47.85,31.82,48.55,0,0,0,-16.73,1
20325,Software Engineer,5,Bachelors,20.0,15.84,18.97,0,0,0,-3.13,1
20327,Software Engineer,8,Bachelors,17.22,5.43,29.78,0,0,0,-24.35,1
20329,Software Engineer,11,Bachelors,43.25,41.44,44.94,0,0,0,-3.5,1
20332,Software Engineer,6,PhD,47.33,37.81,57.05,0,0,0,-19.24,1
20333,Software Engineer,9,Masters,60.53,48.32,50.37,0,0,0,-2.05,1
20336,Software Engineer,13,Masters,46.04,42.43,42.67,0,0,0,-0.24,1
20342,Software Engineer,0,Associate,19.31,23.72,19.59,0,0,0,4.13,1
20360,Software Engineer,14,Bachelors,25.77,38.53,33.3,0,0,0,5.23,1
20362,Software Engineer,18,Masters,71.51,76.65,69.24,1,0,1,7.41,0
20363,Software Engineer,18,Masters,59.81,52.44,76.54,0,1,1,-24.1,0
20368,Software Engineer,1,Masters,9.2,1.39,16.6,0,0,0,-15.21,1
20369,Software Engineer,6,Bachelors,47.25,44.9,45.39,0,0,0,-0.49,1
20373,Software Engineer,13,Masters,55.52,32.52,59.68,0,0,0,-27.16,1
20376,Software Engineer,12,Associate,22.71,8.56,15.69,0,0,0,-7.13,1
20381,Software Engineer,5,Bachelors,25.31,16.45,39.68,0,0,0,-23.23,1
20382,Software Engineer,3,Bachelors,33.03,22.01,51.18,0,0,0,-29.17,1
20383,Software Engineer,1,Masters,43.43,25.72,38.09,0,0,0,-12.37,1
20386,Software Engineer,1,Bachelors,22.84,22.16,17.01,0,0,0,5.15,1
20388,Software Engineer,1,Bachelors,27.69,26.66,19.48,0,0,0,7.18,1
20392,Software Engineer,0,Associate,4.29,0.0,39.18,0,0,0,-39.18,1
20396,Software Engineer,18,Bachelors,48.34,44.01,63.09,0,0,0,-19.08,1
20411,Software Engineer,8,Bachelors,34.88,19.55,40.74,0,0,0,-21.19,1
20413,Software Engineer,1,Bachelors,29.31,22.7,29.14,0,0,0,-6.44,1
20414,Software Engineer,5,Masters,50.28,48.58,39.42,0,0,0,9.16,1
20420,Software Engineer,9,Bachelors,39.98,24.76,49.89,0,0,0,-25.13,1
20421,Software Engineer,11,PhD,55.67,44.62,48.94,0,0,0,-4.32,1
20426,Software Engineer,1,Bachelors,33.99,23.37,33.34,0,0,0,-9.97,1
20432,Software Engineer,0,Bachelors,9.06,0.0,16.81,0,0,0,-16.81,1
20439,Software Engineer,9,Bachelors,27.99,22.16,24.01,0,0,0,-1.85,1
20443,Software Engineer,4,Bachelors,1.73,0.0,9.15,0,0,0,-9.15,1
20457,Software Engineer,20,Bachelors,68.86,57.9,70.56,0,1,1,-12.66,0
20459,Software Engineer,15,Bachelors,55.19,40.04,47.64,0,0,0,-7.6,1
20462,Software Engineer,14,Bachelors,60.07,65.17,40.94,1,0,1,24.23,0
20466,Software Engineer,2,Bachelors,25.85,6.71,21.84,0,0,0,-15.13,1
20487,Software Engineer,20,Bachelors,63.13,64.53,59.55,0,0,0,4.98,1
20493,Software Engineer,19,Bachelors,80.93,74.73,77.25,1,1,1,-2.52,1
20504,Software Engineer,0,Masters,27.57,11.35,26.92,0,0,0,-15.57,1
20509,Software Engineer,4,Bachelors,17.56,7.71,19.49,0,0,0,-11.78,1
20513,Software Engineer,2,PhD,55.05,40.12,52.12,0,0,0,-12.0,1
20518,Software Engineer,4,Masters,44.59,47.25,59.04,0,0,0,-11.79,1
20523,Software Engineer,19,Associate,54.85,58.29,68.72,0,0,0,-10.43,1
20528,Software Engineer,13,Bachelors,63.4,45.98,40.72,0,0,0,5.26,1
20529,Software Engineer,4,Associate,13.55,1.81,17.69,0,0,0,-15.88,1
20533,Software Engineer,0,Bachelors,21.74,12.32,17.05,0,0,0,-4.73,1
20538,Software Engineer,14,Bachelors,44.96,48.02,38.14,0,0,0,9.88,1
20552,Software Engineer,11,Masters,62.24,48.92,50.12,0,0,0,-1.2,1
20553,Software Engineer,4,Masters,23.92,30.94,33.86,0,0,0,-2.92,1
20559,Software Engineer,9,Associate,29.78,15.35,43.94,0,0,0,-28.59,1
20571,Software Engineer,4,PhD,40.29,29.37,49.46,0,0,0,-20.09,1
20573,Software Engineer,0,Bachelors,12.57,4.05,25.2,0,0,0,-21.15,1
20574,Software Engineer,7,Bachelors,35.12,16.33,42.5,0,0,0,-26.17,1
20576,Software Engineer,10,Masters,53.32,52.67,46.31,0,0,0,6.36,1
20577,Software Engineer,19,Bachelors,47.45,41.03,69.15,0,0,0,-28.12,1
20582,Software Engineer,17,Bachelors,65.56,79.95,64.37,1,0,1,15.58,0
20588,Software Engineer,0,Bachelors,9.04,0.0,8.06,0,0,0,-8.06,1
20603,Software Engineer,8,Bachelors,39.38,39.8,69.26,0,0,0,-29.46,1
20606,Software Engineer,3,Bachelors,24.26,13.29,22.83,0,0,0,-9.54,1
20607,Software Engineer,20,Masters,77.43,85.56,85.76,1,1,1,-0.2,1
20609,Software Engineer,14,Bachelors,50.78,39.56,56.65,0,0,0,-17.09,1
20615,Software Engineer,11,Masters,35.71,32.0,34.64,0,0,0,-2.64,1
20617,Software Engineer,7,Masters,43.32,42.14,41.24,0,0,0,0.9,1
20620,Software Engineer,20,Bachelors,49.75,30.79,58.9,0,0,0,-28.11,1
20624,Software Engineer,1,Masters,19.07,11.25,28.81,0,0,0,-17.56,1
20628,Software Engineer,6,Bachelors,10.7,4.2,26.22,0,0,0,-22.02,1
20632,Software Engineer,10,Masters,46.92,50.02,55.04,0,0,0,-5.02,1
20633,Software Engineer,6,Bachelors,32.03,11.26,18.71,0,0,0,-7.45,1
20635,Software Engineer,13,Bachelors,52.38,50.87,50.77,0,0,0,0.1,1
20639,Software Engineer,5,Bachelors,27.57,24.16,34.15,0,0,0,-9.99,1
20647,Software Engineer,17,Associate,47.04,41.23,71.6,0,1,1,-30.37,0
20652,Software Engineer,12,Bachelors,55.69,49.81,64.42,0,0,0,-14.61,1
20654,Software Engineer,0,Bachelors,21.88,7.11,7.25,0,0,0,-0.14,1
20659,Software Engineer,0,Masters,20.27,6.74,19.07,0,0,0,-12.33,1
20663,Software Engineer,11,Masters,41.29,39.43,57.46,0,0,0,-18.03,1
20668,Software Engineer,17,Bachelors,44.4,25.5,47.61,0,0,0,-22.11,1
20669,Software Engineer,10,Bachelors,27.83,36.8,29.7,0,0,0,7.1,1
20670,Software Engineer,3,Associate,7.74,0.0,0.0,0,0,0,0.0,1
20671,Software Engineer,12,Masters,60.95,44.81,51.26,0,0,0,-6.45,1
20673,Software Engineer,3,Masters,31.0,16.59,21.31,0,0,0,-4.72,1
20678,Software Engineer,9,Bachelors,51.87,31.88,45.23,0,0,0,-13.35,1
20685,Software Engineer,6,Masters,43.72,41.14,51.89,0,0,0,-10.75,1
20687,Software Engineer,0,Associate,0.0,0.0,10.0,0,0,0,-10.0,1
20688,Software Engineer,10,Bachelors,23.93,15.48,28.87,0,0,0,-13.39,1
20702,Software Engineer,4,Bachelors,33.76,11.49,40.71,0,0,0,-29.22,1
20706,Software Engineer,18,Masters,70.73,69.33,96.68,1,1,1,-27.35,1
20707,Software Engineer,7,Masters,57.43,55.0,82.03,0,1,1,-27.03,0
20708,Software Engineer,6,Bachelors,26.13,26.99,38.55,0,0,0,-11.56,1
20710,Software Engineer,20,Masters,75.37,80.71,73.35,1,1,1,7.36,1
20716,Software Engineer,11,Bachelors,42.95,30.66,55.09,0,0,0,-24.43,1
20724,Software Engineer,19,Masters,68.9,64.4,77.72,0,1,1,-13.32,0
20726,Software Engineer,6,Masters,36.17,43.66,33.7,0,0,0,9.96,1
20731,Software Engineer,14,Bachelors,51.41,28.26,67.51,0,0,0,-39.25,1
20732,Software Engineer,1,Bachelors,19.5,8.31,17.25,0,0,0,-8.94,1
20735,Software Engineer,1,Bachelors,13.29,10.9,21.83,0,0,0,-10.93,1
20736,Software Engineer,19,Bachelors,68.9,70.5,80.6,1,1,1,-10.1,1
20746,Software Engineer,1,PhD,54.78,38.31,59.02,0,0,0,-20.71,1
20747,Software Engineer,3,Associate,0.0,0.0,14.32,0,0,0,-14.32,1
20750,Software Engineer,8,PhD,41.94,28.76,43.31,0,0,0,-14.55,1
20752,Software Engineer,3,Bachelors,22.18,17.72,23.18,0,0,0,-5.46,1
20755,Software Engineer,5,Bachelors,28.91,22.71,25.01,0,0,0,-2.3,1
20761,Software Engineer,12,Bachelors,54.11,42.11,61.96,0,0,0,-19.85,1
20770,Software Engineer,1,Masters,25.65,25.89,3.1,0,0,0,22.79,1
20776,Software Engineer,0,Masters,33.59,31.53,35.75,0,0,0,-4.22,1
20786,Software Engineer,0,Associate,0.0,2.09,8.48,0,0,0,-6.39,1
20808,Software Engineer,2,Masters,13.12,1.37,8.44,0,0,0,-7.07,1
20814,Software Engineer,9,Associate,37.52,42.43,38.35,0,0,0,4.08,1
20818,Software Engineer,0,PhD,27.79,21.57,21.81,0,0,0,-0.24,1
20822,Software Engineer,9,Bachelors,36.93,28.61,32.39,0,0,0,-3.78,1
20828,Software Engineer,20,Masters,78.86,65.68,85.72,1,1,1,-20.04,1
20834,Software Engineer,8,Associate,24.54,20.97,16.74,0,0,0,4.23,1
20836,Software Engineer,4,Bachelors,40.11,24.33,39.43,0,0,0,-15.1,1
20841,Software Engineer,17,Masters,89.45,84.07,90.29,1,1,1,-6.22,1
20845,Software Engineer,14,Bachelors,54.65,45.41,60.14,0,0,0,-14.73,1
20850,Software Engineer,12,Associate,51.22,54.18,47.47,0,0,0,6.71,1
20860,Software Engineer,15,Masters,67.44,60.47,59.54,0,0,0,0.93,1
20866,Software Engineer,18,Associate,47.41,43.83,58.18,0,0,0,-14.35,1
20867,Software Engineer,3,Bachelors,16.91,5.47,23.39,0,0,0,-17.92,1
20872,Software Engineer,19,Bachelors,66.09,59.34,77.87,0,1,1,-18.53,0
20876,Software Engineer,15,Masters,60.5,54.99,60.21,0,0,0,-5.22,1
20879,Software Engineer,11,Bachelors,47.52,45.12,37.64,0,0,0,7.48,1
20880,Software Engineer,9,Bachelors,34.2,27.35,47.68,0,0,0,-20.33,1
20881,Software Engineer,1,PhD,42.27,41.16,48.67,0,0,0,-7.51,1
20882,Software Engineer,16,Associate,58.4,56.34,63.86,0,0,0,-7.52,1
20884,Software Engineer,19,PhD,87.41,80.86,96.96,1,1,1,-16.1,1
20890,Software Engineer,8,Associate,7.1,0.0,21.13,0,0,0,-21.13,1
20897,Software Engineer,12,Bachelors,38.36,41.67,29.74,0,0,0,11.93,1
20902,Software Engineer,14,Bachelors,60.0,49.47,74.8,0,1,1,-25.33,0
20907,Software Engineer,4,Bachelors,14.58,7.28,14.59,0,0,0,-7.31,1
20908,Software Engineer,11,Bachelors,47.38,25.98,51.6,0,0,0,-25.62,1
20910,Software Engineer,1,Bachelors,22.48,21.04,14.92,0,0,0,6.12,1
20912,Software Engineer,9,Bachelors,28.82,28.44,30.17,0,0,0,-1.73,1
20914,Software Engineer,0,Bachelors,0.29,8.82,7.88,0,0,0,0.94,1
20919,Software Engineer,9,PhD,42.42,43.41,42.73,0,0,0,0.68,1
20920,Software Engineer,2,Masters,24.78,27.68,39.38,0,0,0,-11.7,1
20924,Software Engineer,16,PhD,71.95,55.59,74.68,0,1,1,-19.09,0
20929,Software Engineer,14,Bachelors,60.12,44.4,54.11,0,0,0,-9.71,1
20932,Software Engineer,18,PhD,79.97,64.49,85.5,0,1,1,-21.01,0
20935,Software Engineer,20,Bachelors,55.62,48.74,69.84,0,0,0,-21.1,1
20951,Software Engineer,14,Bachelors,48.78,35.38,60.31,0,0,0,-24.93,1
20956,Software Engineer,17,Associate,37.58,41.82,49.4,0,0,0,-7.58,1
20958,Software Engineer,2,Bachelors,30.04,30.49,37.16,0,0,0,-6.67,1
20959,Software Engineer,10,Associate,30.15,32.4,26.82,0,0,0,5.58,1
20963,Software Engineer,17,PhD,71.79,67.85,74.51,1,1,1,-6.66,1
20966,Software Engineer,16,Bachelors,50.54,51.14,61.05,0,0,0,-9.91,1
20968,Software Engineer,18,Associate,57.21,61.79,55.06,0,0,0,6.73,1
20971,Software Engineer,8,Masters,46.79,42.81,36.83,0,0,0,5.98,1
20974,Software Engineer,14,Associate,37.4,31.95,36.0,0,0,0,-4.05,1
20981,Software Engineer,6,Bachelors,26.81,24.99,25.53,0,0,0,-0.54,1
20986,Software Engineer,20,Bachelors,78.69,56.14,96.3,0,1,1,-40.16,0
20987,Software Engineer,17,Bachelors,47.05,52.67,37.45,0,0,0,15.22,1
20992,Software Engineer,17,Bachelors,55.63,55.26,60.55,0,0,0,-5.29,1
21004,Software Engineer,14,Bachelors,58.27,43.71,65.7,0,0,0,-21.99,1
21008,Software Engineer,1,Bachelors,24.15,28.47,34.84,0,0,0,-6.37,1
21013,Software Engineer,13,Bachelors,45.06,31.33,21.02,0,0,0,10.31,1
21016,Software Engineer,11,PhD,64.31,65.37,61.85,1,0,1,3.52,0
21041,Software Engineer,2,Associate,7.04,0.0,1.18,0,0,0,-1.18,1
21045,Software Engineer,20,Masters,68.73,74.44,91.62,1,1,1,-17.18,1
21051,Software Engineer,20,Masters,60.78,60.78,60.45,0,0,0,0.33,1
21053,Software Engineer,3,PhD,35.5,25.73,30.54,0,0,0,-4.81,1
21054,Software Engineer,11,Associate,31.96,12.94,33.77,0,0,0,-20.83,1
21058,Software Engineer,13,Bachelors,31.86,28.49,43.47,0,0,0,-14.98,1
21060,Software Engineer,8,Bachelors,55.37,48.7,51.05,0,0,0,-2.35,1
21064,Software Engineer,11,Bachelors,43.65,41.75,41.28,0,0,0,0.47,1
21067,Software Engineer,9,Bachelors,30.93,31.71,27.7,0,0,0,4.01,1
21071,Software Engineer,5,Masters,39.01,37.06,54.98,0,0,0,-17.92,1
21080,Software Engineer,4,Masters,37.53,22.45,31.18,0,0,0,-8.73,1
21081,Software Engineer,11,PhD,52.53,51.85,52.64,0,0,0,-0.79,1
21083,Software Engineer,10,Bachelors,34.94,16.66,45.95,0,0,0,-29.29,1
21084,Software Engineer,12,Masters,57.91,63.7,60.38,0,0,0,3.32,1
21087,Software Engineer,10,Bachelors,45.11,43.64,43.48,0,0,0,0.16,1
21089,Software Engineer,0,Bachelors,27.03,34.53,37.91,0,0,0,-3.38,1
21094,Software Engineer,6,Masters,41.87,44.92,46.15,0,0,0,-1.23,1
21098,Software Engineer,1,Bachelors,17.46,5.89,16.54,0,0,0,-10.65,1
21103,Software Engineer,1,Masters,30.95,34.42,42.36,0,0,0,-7.94,1
21106,Software Engineer,12,Masters,37.53,21.18,19.04,0,0,0,2.14,1
21112,Software Engineer,3,Bachelors,12.98,0.0,33.62,0,0,0,-33.62,1
21114,Software Engineer,20,Bachelors,65.19,76.18,75.95,1,1,1,0.23,1
21116,Software Engineer,6,Masters,42.42,35.85,41.1,0,0,0,-5.25,1
21120,Software Engineer,12,PhD,63.38,50.01,68.64,0,0,0,-18.63,1
21125,Software Engineer,19,Bachelors,68.31,63.25,81.3,0,1,1,-18.05,0
21131,Software Engineer,8,Associate,18.92,14.26,27.76,0,0,0,-13.5,1
21132,Software Engineer,8,Masters,32.77,29.07,46.3,0,0,0,-17.23,1
21135,Software Engineer,5,Masters,40.93,27.79,63.45,0,0,0,-35.66,1
21136,Software Engineer,17,Bachelors,67.0,50.46,70.49,0,1,1,-20.03,0
21139,Software Engineer,18,Masters,90.24,100.0,95.97,1,1,1,4.03,1
21143,Software Engineer,15,Bachelors,32.95,21.6,34.27,0,0,0,-12.67,1
21144,Software Engineer,11,Bachelors,42.61,28.98,41.75,0,0,0,-12.77,1
21151,Software Engineer,3,Masters,33.32,23.45,38.94,0,0,0,-15.49,1
21167,Software Engineer,9,Associate,27.64,13.7,29.94,0,0,0,-16.24,1
21168,Software Engineer,20,Bachelors,62.89,50.03,40.26,0,0,0,9.77,1
21174,Software Engineer,17,Bachelors,47.57,31.39,37.46,0,0,0,-6.07,1
21176,Software Engineer,7,Masters,29.23,29.49,33.55,0,0,0,-4.06,1
21181,Software Engineer,2,Masters,45.64,46.3,58.92,0,0,0,-12.62,1
21185,Software Engineer,3,PhD,44.56,44.24,53.55,0,0,0,-9.31,1
21191,Software Engineer,5,Masters,29.44,26.49,14.65,0,0,0,11.84,1
21192,Software Engineer,6,Bachelors,29.61,19.62,45.5,0,0,0,-25.88,1
21200,Software Engineer,16,Bachelors,59.31,54.59,51.46,0,0,0,3.13,1
21205,Software Engineer,4,Bachelors,41.0,33.13,34.43,0,0,0,-1.3,1
21206,Software Engineer,0,Bachelors,19.17,11.82,4.66,0,0,0,7.16,1
21213,Software Engineer,5,Masters,43.72,40.63,64.89,0,0,0,-24.26,1
21214,Software Engineer,6,Masters,40.83,38.23,37.83,0,0,0,0.4,1
21215,Software Engineer,1,Masters,4.52,0.06,24.71,0,0,0,-24.65,1
21220,Software Engineer,16,Masters,71.75,57.64,67.95,0,0,0,-10.31,1
21223,Software Engineer,5,Bachelors,28.62,20.63,25.67,0,0,0,-5.04,1
21227,Software Engineer,12,Bachelors,28.16,37.68,39.2,0,0,0,-1.52,1
21228,Software Engineer,9,Masters,46.81,58.88,42.21,0,0,0,16.67,1
21229,Software Engineer,14,Associate,47.85,37.62,48.25,0,0,0,-10.63,1
21232,Software Engineer,18,Bachelors,60.94,50.35,53.36,0,0,0,-3.01,1
21241,Software Engineer,14,Bachelors,59.96,52.23,65.29,0,0,0,-13.06,1
21246,Software Engineer,18,Masters,80.6,69.49,94.8,1,1,1,-25.31,1
21249,Software Engineer,12,Masters,39.53,41.78,59.29,0,0,0,-17.51,1
21254,Software Engineer,19,Bachelors,71.99,79.09,59.71,1,0,1,19.38,0
21262,Software Engineer,4,Bachelors,23.8,13.02,17.45,0,0,0,-4.43,1
21266,Software Engineer,2,Masters,32.96,20.98,31.07,0,0,0,-10.09,1
21268,Software Engineer,13,Masters,42.98,42.23,64.99,0,0,0,-22.76,1
21271,Software Engineer,5,Masters,43.78,50.47,42.75,0,0,0,7.72,1
21279,Software Engineer,15,Associate,41.34,43.91,44.79,0,0,0,-0.88,1
21283,Software Engineer,18,Masters,60.12,42.47,48.94,0,0,0,-6.47,1
21287,Software Engineer,10,PhD,78.88,76.47,72.94,1,1,1,3.53,1
21291,Software Engineer,10,Masters,54.6,50.21,60.25,0,0,0,-10.04,1
21293,Software Engineer,1,Masters,16.95,16.03,29.45,0,0,0,-13.42,1
21294,Software Engineer,8,Bachelors,34.93,25.02,28.97,0,0,0,-3.95,1
21295,Software Engineer,17,Bachelors,53.03,41.59,38.24,0,0,0,3.35,1
21297,Software Engineer,15,Associate,35.69,33.17,44.53,0,0,0,-11.36,1
21299,Software Engineer,16,Bachelors,40.03,30.24,28.66,0,0,0,1.58,1
21300,Software Engineer,11,Bachelors,33.52,35.88,13.09,0,0,0,22.79,1
21302,Software Engineer,3,Bachelors,9.87,15.49,1.79,0,0,0,13.7,1
21305,Software Engineer,17,Associate,38.18,39.11,38.54,0,0,0,0.57,1
21313,Software Engineer,3,Bachelors,7.4,5.37,10.52,0,0,0,-5.15,1
21316,Software Engineer,17,Masters,72.21,71.14,71.14,1,1,1,0.0,1
21319,Software Engineer,20,Masters,69.6,70.46,69.95,1,0,1,0.51,0
21321,Software Engineer,7,Bachelors,46.47,48.33,59.97,0,0,0,-11.64,1
21328,Software Engineer,14,Bachelors,61.46,68.12,70.0,1,1,1,-1.88,1
21338,Software Engineer,15,Masters,67.3,76.94,69.47,1,0,1,7.47,0
21340,Software Engineer,20,PhD,88.46,87.26,91.2,1,1,1,-3.94,1
21344,Software Engineer,4,Bachelors,24.48,11.43,17.0,0,0,0,-5.57,1
21348,Software Engineer,3,Bachelors,0.0,0.0,0.0,0,0,0,0.0,1
21350,Software Engineer,5,Bachelors,25.02,13.13,30.96,0,0,0,-17.83,1
21352,Software Engineer,18,Masters,74.72,68.62,84.24,1,1,1,-15.62,1
21353,Software Engineer,1,Bachelors,23.39,17.3,34.91,0,0,0,-17.61,1
21363,Software Engineer,7,Masters,31.78,27.03,18.88,0,0,0,8.15,1
21382,Software Engineer,6,Bachelors,39.32,46.27,53.24,0,0,0,-6.97,1
21388,Software Engineer,17,Masters,67.68,74.07,64.65,1,0,1,9.42,0
21389,Software Engineer,12,Masters,48.28,48.69,62.11,0,0,0,-13.42,1
21395,Software Engineer,5,Masters,33.21,22.05,22.84,0,0,0,-0.79,1
21396,Software Engineer,6,Bachelors,44.98,25.89,46.69,0,0,0,-20.8,1
21397,Software Engineer,5,Associate,10.44,3.88,30.65,0,0,0,-26.77,1
21400,Software Engineer,10,Bachelors,58.37,58.11,56.44,0,0,0,1.67,1
